,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,walbema01,Matt Walbeck,Both,5-11,195lb,1993,23,CHC,NL,11,31,30,2,6,2,0,1,6,0,0,1,6,0.2,0.226,0.36700000000000005,0.5920000000000001,58.0,11,0,0,0,0,0,2,,"$109,000"
1,walbema01,Matt Walbeck,Both,5-11,195lb,1994,24,MIN,AL,97,359,338,31,69,12,0,5,35,1,1,17,37,0.204,0.24600000000000002,0.284,0.53,37.0,96,7,2,1,1,1,*2/D,,"$115,000"
2,walbema01,Matt Walbeck,Both,5-11,195lb,1995,25,MIN,AL,115,422,393,40,101,18,1,1,44,3,1,25,71,0.257,0.302,0.316,0.617,61.0,124,11,1,1,2,2,*2,,"$166,000"
3,walbema01,Matt Walbeck,Both,5-11,195lb,1996,26,MIN,AL,63,227,215,25,48,10,0,2,24,3,1,9,34,0.223,0.252,0.298,0.55,38.0,64,6,0,1,2,0,2,,"$225,000"
4,walbema01,Matt Walbeck,Both,5-11,195lb,1997,27,DET,AL,47,151,137,18,38,3,0,3,10,3,3,12,19,0.27699999999999997,0.331,0.365,0.696,83.0,50,4,0,0,2,0,2,,"$550,000"
5,walbema01,Matt Walbeck,Both,5-11,195lb,1998,28,ANA,AL,108,380,338,41,87,15,2,6,46,1,1,30,68,0.257,0.317,0.36700000000000005,0.684,77.0,124,9,2,5,5,0,2/D,,"$700,000"
6,walbema01,Matt Walbeck,Both,5-11,195lb,1999,29,ANA,AL,107,321,288,26,69,8,1,3,22,2,3,26,46,0.24,0.308,0.306,0.614,59.0,88,12,3,3,1,1,2/D,,"$825,000"
7,walbema01,Matt Walbeck,Both,5-11,195lb,2000,30,ANA,AL,47,155,146,17,29,5,0,6,12,0,1,7,22,0.19899999999999998,0.24,0.35600000000000004,0.596,48.0,52,2,1,1,0,0,2/3D,,"$925,000"
8,walbema01,Matt Walbeck,Both,5-11,195lb,2003,33,DET,AL,59,144,138,11,24,4,1,1,6,0,1,3,26,0.174,0.19699999999999998,0.239,0.436,18.0,33,3,1,2,0,0,2/D,,"$400,000"
9,walkech01,Chico Walker,Both,5-9,170lb,1988,29,CAL,AL,33,86,78,8,12,1,0,0,2,2,1,6,15,0.154,0.214,0.16699999999999998,0.381,10.0,13,2,0,2,0,0,8/475,,"$88,000"
10,walkech01,Chico Walker,Both,5-9,170lb,1992,33,TOT,NL,126,287,253,26,73,12,1,4,38,15,1,27,50,0.289,0.35100000000000003,0.391,0.742,111.0,99,9,0,0,5,3,547/89,,"$275,000"
11,walkech01,Chico Walker,Both,5-9,170lb,1992,33,CHC,NL,19,30,26,2,3,0,0,0,2,1,0,3,4,0.115,0.2,0.115,0.315,-9.0,3,0,0,0,1,0,/7459,,"$275,000"
12,walkech01,Chico Walker,Both,5-9,170lb,1992,33,NYM,NL,107,257,227,24,70,12,1,4,36,14,1,24,46,0.308,0.369,0.423,0.792,125.0,96,9,0,0,4,3,54/789,,"$275,000"
13,walkech01,Chico Walker,Both,5-9,170lb,1993,34,NYM,NL,115,230,213,18,48,7,1,5,19,7,0,14,29,0.225,0.271,0.33799999999999997,0.609,64.0,72,3,0,0,2,0,457/9,,"$635,000"
14,walkedu01,Duane Walker,Left,6-0,185lb,1985,28,TOT,MLB,90,202,180,19,31,4,1,7,17,3,1,21,47,0.172,0.262,0.322,0.585,59.0,58,3,1,0,0,1,97D,,"$185,000"
15,walkedu01,Duane Walker,Left,6-0,185lb,1985,28,CIN,NL,37,54,48,5,8,2,1,2,6,1,0,6,18,0.16699999999999998,0.259,0.375,0.634,73.0,18,1,0,0,0,1,/79,,"$185,000"
16,walkedu01,Duane Walker,Left,6-0,185lb,1985,28,TEX,AL,53,148,132,14,23,2,0,5,11,2,1,15,29,0.174,0.264,0.303,0.5670000000000001,55.0,40,2,1,0,0,0,97D,,"$185,000"
17,walkegr01,Greg Walker,Left,6-3,205lb,1985,25,CHW,AL,163,650,601,77,155,38,4,24,92,5,2,44,100,0.258,0.309,0.45399999999999996,0.763,103.0,273,16,2,0,3,6,*3/D,,"$195,000"
18,walkegr01,Greg Walker,Left,6-3,205lb,1986,26,CHW,AL,78,316,282,37,78,10,6,13,51,1,2,29,44,0.27699999999999997,0.345,0.493,0.838,122.0,139,4,2,0,3,4,3/D,,"$400,000"
19,walkegr01,Greg Walker,Left,6-3,205lb,1987,27,CHW,AL,157,652,566,85,145,33,2,27,94,2,1,75,112,0.256,0.34600000000000003,0.465,0.81,111.0,263,12,5,1,5,7,*3/D,,"$500,000"
20,walkegr01,Greg Walker,Left,6-3,205lb,1988,28,CHW,AL,99,412,377,45,93,22,1,8,42,0,1,29,77,0.247,0.304,0.374,0.6779999999999999,90.0,141,7,3,1,2,3,3,,"$730,000"
21,walkegr01,Greg Walker,Left,6-3,205lb,1989,29,CHW,AL,77,263,233,25,49,14,0,5,26,0,0,23,50,0.21,0.28600000000000003,0.335,0.621,77.0,78,8,3,1,3,2,3D,,"$718,810"
22,walkela01,Larry Walker,Left,6-2,185lb,1990,23,MON,NL,133,478,419,59,101,18,3,19,51,21,7,49,112,0.24100000000000002,0.326,0.434,0.7609999999999999,112.0,182,8,5,3,2,5,*9,RoY-7,"$103,500"
23,walkela01,Larry Walker,Left,6-2,185lb,1991,24,MON,NL,137,539,487,59,141,30,2,16,64,14,9,42,102,0.29,0.349,0.45799999999999996,0.807,127.0,223,7,5,1,4,2,93/8,,"$185,000"
24,walkela01,Larry Walker,Left,6-2,185lb,1992,25,MON,NL,143,583,528,85,159,31,4,23,93,18,6,41,97,0.301,0.353,0.506,0.8590000000000001,141.0,267,9,6,0,8,10,*9,"AS,MVP-5,GG,SS","$990,000"
25,walkela01,Larry Walker,Left,6-2,185lb,1993,26,MON,NL,138,582,490,85,130,24,5,22,86,29,7,80,76,0.265,0.371,0.469,0.841,120.0,230,8,6,0,6,20,*9/3,GG,"$3,000,000"
26,walkela01,Larry Walker,Left,6-2,185lb,1994,27,MON,NL,103,452,395,76,127,44,2,19,86,15,5,47,74,0.322,0.39399999999999996,0.5870000000000001,0.981,151.0,232,8,4,0,6,5,93,MVP-11,"$4,025,000"
27,walkela01,Larry Walker,Left,6-2,185lb,1995,28,COL,NL,131,562,494,96,151,31,5,36,101,16,3,49,72,0.306,0.381,0.607,0.988,131.0,300,13,14,0,5,13,*9/8,MVP-7,"$5,019,382"
28,walkela01,Larry Walker,Left,6-2,185lb,1996,29,COL,NL,83,304,272,58,75,18,4,18,58,18,2,20,58,0.276,0.342,0.57,0.912,116.0,155,7,9,0,3,2,89,,"$4,375,000"
29,walkela01,Larry Walker,Left,6-2,185lb,1997,30,COL,NL,153,664,568,143,208,46,4,49,130,33,8,78,90,0.366,0.452,0.72,1.172,178.0,409,15,14,0,4,14,*9/38D,"AS,MVP-1,GG,SS","$6,325,000"
30,walkela01,Larry Walker,Left,6-2,185lb,1998,31,COL,NL,130,524,454,113,165,46,3,23,67,14,4,64,61,0.363,0.445,0.63,1.075,158.0,286,11,4,0,2,2,*9/845D,"AS,MVP-17,GG","$6,050,000"
31,walkela01,Larry Walker,Left,6-2,185lb,1999,32,COL,NL,127,513,438,108,166,26,4,37,115,11,4,57,52,0.379,0.45799999999999996,0.71,1.168,164.0,311,12,12,0,6,8,*9/D,"AS,MVP-10,GG,SS","$5,417,857"
32,walkela01,Larry Walker,Left,6-2,185lb,2000,33,COL,NL,87,372,314,64,97,21,7,9,51,5,5,46,40,0.309,0.409,0.506,0.915,110.0,159,12,9,0,3,4,97/D,,"$12,142,857"
33,walkela01,Larry Walker,Left,6-2,185lb,2001,34,COL,NL,142,601,497,107,174,35,3,38,123,14,5,82,103,0.35,0.449,0.662,1.111,160.0,329,9,14,0,8,6,*9/D,"AS,MVP-24,GG","$12,166,667"
34,walkela01,Larry Walker,Left,6-2,185lb,2002,35,COL,NL,136,553,477,95,161,40,4,26,104,6,5,65,73,0.33799999999999997,0.42100000000000004,0.602,1.023,151.0,287,8,7,0,4,6,*9/D,"MVP-20,GG","$12,666,667"
35,walkela01,Larry Walker,Left,6-2,185lb,2003,36,COL,NL,143,564,454,86,129,25,7,16,79,7,4,98,87,0.284,0.42200000000000004,0.47600000000000003,0.898,121.0,216,9,11,0,1,14,*9/D,,"$12,666,667"
36,walkela01,Larry Walker,Left,6-2,185lb,2004,37,TOT,NL,82,316,258,51,77,16,4,17,47,6,0,49,57,0.298,0.424,0.589,1.013,154.0,152,8,8,0,1,3,9/8D,,"$12,666,667"
37,walkela01,Larry Walker,Left,6-2,185lb,2004,37,COL,NL,38,138,108,22,35,9,3,6,20,2,0,25,23,0.324,0.46399999999999997,0.63,1.093,166.0,68,2,4,0,1,2,9/D,,"$12,666,667"
38,walkela01,Larry Walker,Left,6-2,185lb,2004,37,STL,NL,44,178,150,29,42,7,1,11,27,4,0,24,34,0.28,0.39299999999999996,0.56,0.953,144.0,84,6,4,0,0,1,9/8,,"$12,666,667"
39,walkela01,Larry Walker,Left,6-2,185lb,2005,38,STL,NL,100,367,315,66,91,20,1,15,52,2,1,41,64,0.289,0.384,0.502,0.8859999999999999,130.0,158,9,9,0,2,3,9/D8,,"$12,666,667"
40,walkene01,Neil Walker,Both,6-3,210lb,2011,25,PIT,NL,159,662,596,76,163,36,4,12,83,9,6,54,112,0.273,0.33399999999999996,0.408,0.742,108.0,243,15,4,0,8,5,*4,,"$437,000"
41,walkene01,Neil Walker,Both,6-3,210lb,2012,26,PIT,NL,129,530,472,62,132,27,0,14,69,7,5,47,104,0.28,0.342,0.426,0.768,112.0,201,11,2,1,8,1,*4/D,,"$500,000"
42,walkene01,Neil Walker,Both,6-3,210lb,2013,27,PIT,NL,133,551,478,62,120,24,4,16,53,1,2,50,85,0.251,0.33899999999999997,0.418,0.757,114.0,200,14,15,5,3,4,*4,,"$3,300,000"
43,walkene01,Neil Walker,Both,6-3,210lb,2014,28,PIT,NL,137,571,512,74,139,25,3,23,76,2,2,45,88,0.271,0.342,0.467,0.809,126.0,239,12,11,1,2,2,*4,SS,"$5,750,000"
44,walkene01,Neil Walker,Both,6-3,210lb,2015,29,PIT,NL,151,603,543,69,146,32,3,16,71,4,1,44,110,0.26899999999999996,0.32799999999999996,0.42700000000000005,0.7559999999999999,106.0,232,9,8,0,8,5,*4,,"$8,000,000"
45,walkene01,Neil Walker,Both,6-3,210lb,2016,30,NYM,NL,113,458,412,57,116,9,1,23,55,3,1,42,84,0.282,0.34700000000000003,0.47600000000000003,0.823,121.0,196,11,1,0,3,3,*4,,"$10,550,000"
46,walkene01,Neil Walker,Both,6-3,210lb,2017,31,TOT,NL,111,448,385,59,102,21,2,14,49,0,2,55,77,0.265,0.36200000000000004,0.439,0.8009999999999999,111.0,169,9,5,1,2,2,43/5,,"$17,200,000"
47,walkene01,Neil Walker,Both,6-3,210lb,2017,31,NYM,NL,73,299,265,40,70,13,2,10,36,0,1,27,47,0.264,0.33899999999999997,0.442,0.78,105.0,117,4,4,1,2,1,4/35,,"$17,200,000"
48,walkene01,Neil Walker,Both,6-3,210lb,2017,31,MIL,NL,38,149,120,19,32,8,0,4,13,0,1,28,30,0.267,0.409,0.433,0.843,121.0,52,5,1,0,0,1,43/5,,"$17,200,000"
49,walketo04,Todd Walker,Left,6-0,180lb,1996,23,MIN,AL,25,89,82,8,21,6,0,0,6,2,0,4,13,0.256,0.281,0.32899999999999996,0.61,54.0,27,4,0,0,3,0,5/4D,,"$109,000"
50,walketo04,Todd Walker,Left,6-0,180lb,1997,24,MIN,AL,52,171,156,15,37,7,1,3,16,7,0,11,30,0.237,0.28800000000000003,0.353,0.6409999999999999,67.0,55,5,1,1,2,1,5/4D,,"$150,000"
51,walketo04,Todd Walker,Left,6-0,180lb,1998,25,MIN,AL,143,581,528,85,167,41,3,12,62,19,7,47,65,0.316,0.37200000000000005,0.473,0.845,118.0,250,13,2,0,4,9,*4/D,,"$175,000"
52,walketo04,Todd Walker,Left,6-0,180lb,1999,26,MIN,AL,143,586,531,62,148,37,4,6,46,18,10,52,83,0.27899999999999997,0.34299999999999997,0.397,0.74,87.0,211,15,1,0,2,5,4D,,"$277,500"
53,walketo04,Todd Walker,Left,6-0,180lb,2000,27,TOT,MLB,80,283,248,42,72,11,4,9,44,7,1,27,29,0.29,0.355,0.47600000000000003,0.83,94.0,118,5,1,1,6,0,4/D,,"$322,500"
54,walketo04,Todd Walker,Left,6-0,180lb,2000,27,MIN,AL,23,87,77,14,18,1,0,2,8,3,0,7,10,0.23399999999999999,0.287,0.325,0.612,53.0,25,3,0,0,3,0,4/D,,"$322,500"
55,walketo04,Todd Walker,Left,6-0,180lb,2000,27,COL,NL,57,196,171,28,54,10,4,7,36,4,1,20,19,0.316,0.385,0.544,0.9279999999999999,111.0,93,2,1,1,3,0,4,,"$322,500"
56,walketo04,Todd Walker,Left,6-0,180lb,2001,28,TOT,NL,151,610,551,93,163,35,2,17,75,1,8,51,82,0.29600000000000004,0.355,0.45899999999999996,0.8140000000000001,98.0,253,14,1,4,3,1,*4/6,,"$1,050,000"
57,walketo04,Todd Walker,Left,6-0,180lb,2001,28,COL,NL,85,321,290,52,86,18,2,12,43,1,3,25,40,0.297,0.349,0.49700000000000005,0.846,99.0,144,8,0,3,3,1,4,,"$1,050,000"
58,walketo04,Todd Walker,Left,6-0,180lb,2001,28,CIN,NL,66,289,261,41,77,17,0,5,32,0,5,26,42,0.295,0.361,0.418,0.779,97.0,109,6,1,1,0,0,4/6,,"$1,050,000"
59,walketo04,Todd Walker,Left,6-0,180lb,2002,29,CIN,NL,155,675,612,79,183,42,3,11,64,8,5,50,81,0.299,0.353,0.431,0.785,103.0,264,9,3,7,3,7,*4,,"$2,050,000"
60,walketo04,Todd Walker,Left,6-0,180lb,2003,30,BOS,AL,144,647,587,92,166,38,4,13,85,1,1,48,54,0.28300000000000003,0.33299999999999996,0.428,0.76,95.0,251,17,1,1,10,0,*4/D,,"$3,450,000"
61,walketo04,Todd Walker,Left,6-0,180lb,2004,31,CHC,NL,129,424,372,60,102,19,4,15,50,0,3,43,52,0.27399999999999997,0.35200000000000004,0.46799999999999997,0.82,109.0,174,2,4,1,4,8,4/37,,"$1,750,000"
62,walketo04,Todd Walker,Left,6-0,180lb,2005,32,CHC,NL,110,433,397,50,121,25,3,12,40,1,1,31,40,0.305,0.355,0.474,0.8290000000000001,112.0,188,8,1,2,2,1,4/3D,,"$2,500,000"
63,walketo04,Todd Walker,Left,6-0,180lb,2006,33,TOT,NL,138,504,442,56,123,22,2,9,53,2,1,55,38,0.278,0.35600000000000004,0.39799999999999996,0.754,94.0,176,8,1,1,5,2,435/D,,"$2,500,000"
64,walketo04,Todd Walker,Left,6-0,180lb,2006,33,CHC,NL,94,362,318,38,88,16,1,6,40,0,1,38,27,0.27699999999999997,0.35200000000000004,0.39,0.742,88.0,124,7,1,1,4,1,43/D,,"$2,500,000"
65,walketo04,Todd Walker,Left,6-0,180lb,2006,33,SDP,NL,44,142,124,18,35,6,1,3,13,2,0,17,11,0.282,0.366,0.419,0.7859999999999999,110.0,52,1,0,0,1,1,54/3,,"$2,500,000"
66,walketo04,Todd Walker,Left,6-0,180lb,2007,34,OAK,AL,18,52,48,5,13,1,0,0,4,0,0,2,4,0.271,0.28800000000000003,0.292,0.58,58.0,14,2,0,0,2,0,3/D7,,"$450,000"
67,wallabr01,Brett Wallace,Left,6-2,250lb,2011,24,HOU,NL,115,379,336,37,87,22,0,5,29,1,1,36,91,0.259,0.33399999999999996,0.369,0.703,96.0,124,12,3,1,2,4,3,,"$418,000"
68,wallabr01,Brett Wallace,Left,6-2,250lb,2013,26,HOU,AL,79,285,262,35,58,14,1,13,36,1,1,18,104,0.221,0.284,0.431,0.716,96.0,113,5,5,0,0,0,3/5D,,"$495,000"
69,wallabr01,Brett Wallace,Left,6-2,250lb,2016,29,SDP,NL,119,256,217,19,41,10,0,6,20,0,0,29,83,0.18899999999999997,0.309,0.318,0.627,72.0,69,2,9,0,1,3,53/D,,"$1,000,000"
70,wallati01,Tim Wallach,Right,6-3,220lb,1985,27,MON,NL,155,617,569,70,148,36,3,22,81,9,9,38,79,0.26,0.31,0.45,0.759,115.0,256,17,5,0,5,8,*5,"AS,GG,SS","$565,000"
71,wallati01,Tim Wallach,Right,6-3,220lb,1986,28,MON,NL,134,539,480,50,112,22,1,18,71,8,4,44,72,0.233,0.308,0.396,0.7040000000000001,93.0,190,16,10,0,5,8,*5,,"$650,000"
72,wallati01,Tim Wallach,Right,6-3,220lb,1987,29,MON,NL,153,644,593,89,177,42,4,26,123,9,5,37,98,0.298,0.34299999999999997,0.514,0.858,121.0,305,6,7,0,7,5,*5/1,"AS,MVP-4,SS","$765,000"
73,wallati01,Tim Wallach,Right,6-3,220lb,1988,30,MON,NL,159,640,592,52,152,32,5,12,69,2,6,38,88,0.257,0.302,0.389,0.69,94.0,230,19,3,0,7,7,*5/4,GG,"$850,000"
74,wallati01,Tim Wallach,Right,6-3,220lb,1989,31,MON,NL,154,639,573,76,159,42,0,13,77,3,7,58,81,0.27699999999999997,0.341,0.419,0.76,116.0,240,21,1,0,7,10,*5/1,AS,"$950,000"
75,wallati01,Tim Wallach,Right,6-3,220lb,1990,32,MON,NL,161,678,626,69,185,37,5,21,98,6,9,42,80,0.29600000000000004,0.33899999999999997,0.47100000000000003,0.81,125.0,295,12,3,0,7,11,*5,"AS,MVP-10,GG","$1,250,000"
76,wallati01,Tim Wallach,Right,6-3,220lb,1992,34,MON,NL,150,602,537,53,120,29,1,9,59,2,2,50,90,0.223,0.29600000000000004,0.331,0.627,78.0,178,10,8,0,7,2,53,,"$1,906,500"
77,wallati01,Tim Wallach,Right,6-3,220lb,1993,35,LAD,NL,133,522,477,42,106,19,1,12,62,0,2,32,70,0.222,0.271,0.342,0.612,68.0,163,10,3,1,9,2,*5/39,,"$3,362,500"
78,wallati01,Tim Wallach,Right,6-3,220lb,1994,36,LAD,NL,113,466,414,68,116,21,1,23,78,0,2,46,80,0.28,0.35600000000000004,0.502,0.8590000000000001,127.0,208,12,4,0,2,2,*5,MVP-18,"$3,412,500"
79,wallati01,Tim Wallach,Right,6-3,220lb,1995,37,LAD,NL,97,362,327,24,87,22,2,9,38,0,0,27,69,0.266,0.326,0.428,0.754,106.0,140,11,4,0,4,4,*5/3,,"$2,002,200"
80,wallati01,Tim Wallach,Right,6-3,220lb,1996,38,TOT,MLB,102,384,352,37,82,10,1,12,42,1,1,30,79,0.233,0.297,0.369,0.6659999999999999,74.0,130,7,2,0,0,2,5/D3,,"$109,000"
81,wallati01,Tim Wallach,Right,6-3,220lb,1996,38,CAL,AL,57,209,190,23,45,7,0,8,20,1,0,18,47,0.237,0.306,0.4,0.706,79.0,76,3,1,0,0,2,5/D3,,"$109,000"
82,wallati01,Tim Wallach,Right,6-3,220lb,1996,38,LAD,NL,45,175,162,14,37,3,1,4,22,0,1,12,32,0.228,0.28600000000000003,0.33299999999999996,0.619,68.0,54,4,1,0,0,0,5,,"$109,000"
83,wallide01,Denny Walling,Left,6-0,180lb,1985,31,HOU,NL,119,374,345,44,93,20,1,7,45,5,2,25,26,0.27,0.316,0.39399999999999996,0.71,100.0,136,8,0,0,4,2,53/97,,"$341,667"
84,wallide01,Denny Walling,Left,6-0,180lb,1986,32,HOU,NL,130,422,382,54,119,23,1,13,58,1,1,36,31,0.312,0.36700000000000005,0.479,0.846,135.0,183,8,0,0,4,5,5/793,,"$366,667"
85,wallide01,Denny Walling,Left,6-0,180lb,1987,33,HOU,NL,110,370,325,45,92,21,4,5,33,5,1,39,37,0.28300000000000003,0.35600000000000004,0.418,0.774,108.0,136,9,0,2,4,1,53/79,,"$595,000"
86,wallide01,Denny Walling,Left,6-0,180lb,1988,34,TOT,NL,84,252,234,22,56,13,2,1,21,2,0,17,25,0.239,0.29100000000000004,0.325,0.616,79.0,76,3,0,1,0,3,57/39,,"$575,000"
87,wallide01,Denny Walling,Left,6-0,180lb,1988,34,HOU,NL,65,192,176,19,43,10,2,1,20,1,0,15,18,0.244,0.304,0.341,0.645,89.0,60,2,0,1,0,3,5/37,,"$575,000"
88,wallide01,Denny Walling,Left,6-0,180lb,1988,34,STL,NL,19,60,58,3,13,3,0,0,1,1,0,2,7,0.22399999999999998,0.25,0.276,0.526,51.0,16,1,0,0,0,0,7/539,,"$575,000"
89,wallide01,Denny Walling,Left,6-0,180lb,1989,35,STL,NL,69,93,79,9,24,7,0,1,11,0,0,14,12,0.304,0.409,0.43,0.8390000000000001,138.0,34,1,0,0,0,2,3/579,,"$615,000"
90,wallide01,Denny Walling,Left,6-0,180lb,1990,36,STL,NL,78,137,127,7,28,5,0,1,19,0,0,8,15,0.22,0.265,0.28300000000000003,0.5479999999999999,51.0,36,5,0,1,1,0,35/97,,"$500,000"
91,wallide01,Denny Walling,Left,6-0,180lb,1992,38,HOU,NL,3,3,3,1,1,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,94.0,1,0,0,0,0,0,,,"$300,000"
92,walshco02,Colin Walsh,Both,6-1,200lb,2016,26,MIL,NL,38,63,47,4,4,1,0,0,2,0,0,15,22,0.085,0.317,0.106,0.424,20.0,5,1,1,0,0,0,5/74,,"$507,500"
93,walteda01,Dan Walters,Right,6-4,225lb,1993,26,SDP,NL,27,102,94,6,19,3,0,1,10,0,0,7,13,0.20199999999999999,0.255,0.266,0.521,40.0,25,2,0,0,1,2,2,,"$132,500"
94,walteza01,Zach Walters,Both,6-2,210lb,2015,25,CLE,AL,12,30,30,0,4,0,0,0,3,0,0,0,15,0.133,0.133,0.133,0.267,-28.0,4,0,0,0,0,0,/74569,,"$509,600"
95,waltoje01,Jerome Walton,Right,6-1,175lb,1989,23,CHC,NL,116,515,475,64,139,23,3,5,46,24,7,27,77,0.293,0.335,0.385,0.721,100.0,183,6,6,2,5,1,*8,"MVP-13,RoY-1","$68,000"
96,waltoje01,Jerome Walton,Right,6-1,175lb,1990,24,CHC,NL,101,450,392,63,103,16,2,2,21,14,7,50,70,0.263,0.35,0.32899999999999996,0.68,83.0,129,4,4,1,2,1,8,,"$185,000"
97,waltoje01,Jerome Walton,Right,6-1,175lb,1991,25,CHC,NL,123,298,270,42,59,13,1,5,17,7,3,19,55,0.21899999999999997,0.275,0.33,0.604,67.0,89,7,3,3,3,0,8/9,,"$210,000"
98,waltoje01,Jerome Walton,Right,6-1,175lb,1992,26,CHC,NL,30,69,55,7,7,0,1,0,1,1,2,9,13,0.127,0.273,0.16399999999999998,0.436,25.0,9,1,2,3,0,0,7/89,,"$525,000"
99,waltoje01,Jerome Walton,Right,6-1,175lb,1993,27,CAL,AL,5,3,2,2,0,0,0,0,0,1,0,1,2,0.0,0.33299999999999996,0.0,0.33299999999999996,-2.0,0,0,0,0,0,0,/D7,,"$250,000"
100,waltoje01,Jerome Walton,Right,6-1,175lb,1994,28,CIN,NL,46,73,68,10,21,4,0,1,9,1,3,4,12,0.309,0.34700000000000003,0.41200000000000003,0.759,98.0,28,2,0,1,0,0,7/398,,"$350,000"
101,waltoje01,Jerome Walton,Right,6-1,175lb,1995,29,CIN,NL,102,188,162,32,47,12,1,8,22,10,7,17,25,0.29,0.368,0.525,0.892,134.0,85,0,4,3,2,0,87/93,,"$500,000"
102,waltoje01,Jerome Walton,Right,6-1,175lb,1996,30,ATL,NL,37,55,47,9,16,5,0,1,4,0,0,5,10,0.34,0.389,0.511,0.9,131.0,24,1,0,1,2,0,7/98,,"$500,000"
103,waltoje01,Jerome Walton,Right,6-1,175lb,1997,31,BAL,AL,26,74,68,8,20,1,0,3,9,0,0,4,10,0.294,0.33299999999999996,0.441,0.775,103.0,30,3,0,2,0,0,9/738D,,"$385,000"
104,wardda01,Daryle Ward,Left,6-2,240lb,1999,24,HOU,NL,64,161,150,11,41,6,0,8,30,0,0,9,31,0.273,0.311,0.473,0.784,96.0,71,3,0,0,2,0,73/D,,"$200,000"
105,wardda01,Daryle Ward,Left,6-2,240lb,2000,25,HOU,NL,119,281,264,36,68,10,2,20,47,0,0,15,61,0.258,0.295,0.5379999999999999,0.833,99.0,142,6,0,0,2,2,73/D9,,"$237,500"
106,wardda01,Daryle Ward,Left,6-2,240lb,2001,26,HOU,NL,95,235,213,21,56,15,0,9,39,0,0,19,48,0.263,0.32299999999999995,0.46,0.7829999999999999,95.0,98,3,1,0,2,4,79/3D,,"$287,500"
107,wardda01,Daryle Ward,Left,6-2,240lb,2002,27,HOU,NL,136,491,453,41,125,31,0,12,72,1,3,33,82,0.276,0.324,0.424,0.748,91.0,192,9,1,0,4,5,*7/D,,"$375,000"
108,wardda01,Daryle Ward,Left,6-2,240lb,2003,28,LAD,NL,52,114,109,6,20,1,0,0,9,0,0,3,19,0.183,0.21100000000000002,0.193,0.40299999999999997,9.0,21,4,1,0,1,0,37,,"$1,350,000"
109,wardda01,Daryle Ward,Left,6-2,240lb,2005,30,PIT,NL,133,453,407,46,106,21,1,12,63,0,2,37,60,0.26,0.318,0.405,0.723,89.0,165,18,1,0,8,10,*3,,"$950,000"
110,wardda01,Daryle Ward,Left,6-2,240lb,2006,31,TOT,NL,98,150,130,17,40,10,0,7,26,0,1,15,27,0.308,0.38,0.546,0.9259999999999999,139.0,71,5,2,0,3,1,39/D7,,"$700,000"
111,wardda01,Daryle Ward,Left,6-2,240lb,2006,31,WSN,NL,78,123,104,15,32,9,0,6,19,0,1,14,21,0.308,0.39,0.5670000000000001,0.958,148.0,59,5,2,0,3,1,9/3D7,,"$700,000"
112,wardda01,Daryle Ward,Left,6-2,240lb,2006,31,ATL,NL,20,27,26,2,8,1,0,1,7,0,0,1,6,0.308,0.33299999999999996,0.462,0.795,102.0,12,0,0,0,0,0,/37,,"$700,000"
113,wardda01,Daryle Ward,Left,6-2,240lb,2007,32,CHC,NL,79,133,110,16,36,13,0,3,19,0,0,22,23,0.327,0.436,0.527,0.963,143.0,58,6,0,0,1,8,39/7,,"$1,000,000"
114,wardda01,Daryle Ward,Left,6-2,240lb,2008,33,CHC,NL,89,119,102,8,22,7,0,4,17,0,0,16,24,0.21600000000000003,0.319,0.402,0.721,83.0,41,4,0,0,1,3,3/79D,,"$1,200,000"
115,wardga01,Gary Ward,Right,6-2,195lb,1985,31,TEX,AL,154,638,593,77,170,28,7,15,70,26,7,39,97,0.287,0.32899999999999996,0.433,0.763,107.0,257,19,1,0,5,3,*78/D9,AS,"$720,000"
116,wardga01,Gary Ward,Right,6-2,195lb,1986,32,TEX,AL,105,418,380,54,120,15,2,5,51,12,8,31,72,0.316,0.37200000000000005,0.405,0.777,110.0,154,10,4,1,2,3,7/8D,,"$865,000"
117,wardga01,Gary Ward,Right,6-2,195lb,1987,33,NYY,AL,146,569,529,65,131,22,1,16,78,9,1,33,101,0.248,0.29100000000000004,0.384,0.675,78.0,203,20,1,2,4,2,7D83/9,,"$633,000"
118,wardga01,Gary Ward,Right,6-2,195lb,1988,34,NYY,AL,91,262,231,26,52,8,0,4,24,0,1,24,41,0.225,0.302,0.312,0.614,74.0,72,8,2,4,1,4,873/D95,,"$625,000"
119,wardga01,Gary Ward,Right,6-2,195lb,1989,35,TOT,AL,113,321,292,27,74,11,2,9,30,1,3,24,59,0.253,0.306,0.397,0.7040000000000001,99.0,116,11,0,1,4,2,73D9/8,,"$68,000"
120,wardga01,Gary Ward,Right,6-2,195lb,1989,35,NYY,AL,8,20,17,3,5,1,0,0,1,0,0,3,5,0.294,0.4,0.353,0.753,116.0,6,1,0,0,0,1,/9D,,"$68,000"
